Name,Type,1st Watch,Physical Format,Watch count,Latest Watch,Rating ?/10,Seasons,Episodes Total,Genre,Rewatch potential,Bogdan,Date W/Bogdi,Comments,Counts
1917,Film,04/2020,Blu-Ray,1,04/2020,10,N/a,N/a,War/Drama,10,No,,,
10000 BC,Film,07/2018,,1,07/2018,8,N/a,N/a,Adventure/Action/Drama/Fantasy,10,No,,,Watched with Bogdan
101 Dalmatians,Film,12/2020,,1,12/2020,9,N/a,N/a,Animation,10,No,,,87
5 centimeters per second,Film,08/2022,Blu-Ray,1,08/2022,10,N/a,N/a,Anime,10,Yes,08/2022,"Really complex, tackles the human condition really well",
8 Mile,Film,05/2019,Blu-Ray,1,05/2019,10,N/a,N/a,Drama/Music,10,No,,Eminem,Films Watched
A Christmas Carol,Film,12/2024,Blu-Ray,1,12/2024,10,N/a,N/a,Drama,10,No,,,198
A Clockwork Orange,Film,06/2017,Blu-Ray,1,06/2017,9,N/a,N/a,Crime/Sci-Fi,8,No,,,
A Dog's Purpose,Film,01/2022,,1,01/2022,10,N/a,N/a,Drama/Family,10,Yes,01/2022,,Series Watched
A Minecraft Movie,Film,03/2025,"4K Blu-Ray, Steelbook",1,03/2025,7,N/a,N/a,Fantasy,8,,,LLLLLAVA CHCHCICKEN ,7
A Quiet Place,Film,05/2019,4K Blu-Ray Box Set,2,03/2022,10,N/a,N/a,Horror,10,Yes,03/2022,,
A Quiet Place 2,Film,11/2020,4K Blu-Ray Box Set,2,03/2022,10,N/a,N/a,Horror,10,Yes,03/2022,,
A Silent Voice,Film,01/2022,"Blu-Ray, DVD",11,05/2023,10,N/a,N/a,Anime,100,Yes,01/2022,Best movie ever,
A.I. Artificial Intelligence,Film,05/2018,Blu-Ray,2,01/2022,10,N/a,N/a,Drama/Sci-Fi,10,Yes,01/2022,,Blu-rays (no box set)
Addams Family Values,Film,05/2019,,2,10/2024,10,N/a,N/a,Horror/Comedy,10,Yes,10/2024,,63
All Quiet on the Western Front,Film,11/2022,,1,11/2022,10,N/a,N/a,War/Drama,10,No,,Gut wrenching,
American Pie Reunion,Film,04/2015,,1,04/2015,8,N/a,N/a,Comedy,10,No,,,Blu-rays Steel Books
Annabelle 2,Film,10/2019,,1,10/2019,4,N/a,N/a,Horror,0,No,,"Nah, lame ",2
Around the World in 80 days,Film,N/a,DVD,2,06/2022,10,N/a,N/a,Action/Adventure/Comedy/Family,10,Yes,06/2022,,
Assassin's Creed,Film,12/2017,,1,12/2017,2,N/a,N/a,Shit,0,No,,I fucking regret watching this shit,
Avatar: The Last Airbender,Series,08/2020,"DVD Box Set, Blu-Ray Box Set",3,12/2022,10,3,61,Animation/Fantasy,10,No,,BEST.FUCKING.SHOW.EVER,4K Blu-rays (no box set)
Avatar: The Legend of Korra,Series,10/2020,Blu-Ray Box Set,2,08/2022,10,4,52,Animation/Fantasy,10,No,,Really awesome as well,5
Baby Driver ,Film,12/2017,Blu-Ray,1,12/2017,10,N/a,N/a,Action/Crime/Drama/Music,10,No,,,
Back To The Future I,Film,03/2012,"DVD Box Set, Blu-Ray Box Set",9,02/2023,10,N/a,N/a,Sci-Fi,10,Yes,02/2023,,4K Blu-rays Steel Books
Back To The Future II,Film,03/2012,"DVD Box Set, Blu-Ray Box Set",9,02/2023,10,N/a,N/a,Sci-Fi,10,Yes,02/2023,,4
Back To The Future III,Film,03/2012,"DVD Box Set, Blu-Ray Box Set",9,02/2023,10,N/a,N/a,Sci-Fi,10,Yes,02/2023,,
Beetlejuice,Film,10/2025,,1,10/2025,8,N/a,N/a,Comedy/Fantasy,9,Yes,10/2025,,
Ben 10 Alien Swarm,Film,03/2010,Blu-Ray,4,08/2015,10,N/a,N/a,Sci-Fi,10,,,Saw it a long time ago on Cartoon Network,
Big Boys Don't Cry,Film,02/2023,,1,02/2023,10,N/a,N/a,Drama,4,Yes,02/2023,,
Birdman or the Unexpected Virtue of Ignorance,Film,06/2017,Blu-Ray,2,05/2022,10,N/a,N/a,Comedy/Drama,8,Yes,05/2022,,
Blow-up,Film,06/2017,,1,06/2017,8,N/a,N/a,Drama/Mystery/Thriller,8,No,,,
Blue Miracle,Film,07/2023,,1,07/2023,10,N/a,N/a,Drama,8,Yes,07/2023,,
Bohemian Rhapsody,Film,10/2018,Blu-Ray,1,10/2018,10,N/a,N/a,Music/Biopic,10,No,,,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Film,07/2016,,1,07/2016,9,N/a,N/a,Comedy,10,No,,,
Bruce Almighty,Film,04/2022,Blu-Ray,1,04/2022,10,N/a,N/a,Comedy/Family,10,Yes,04/2022,,
Bubble バブル,Film,02/2023,,1,02/2023,8,N/a,N/a,Anime Sci-fi/Action,7,Yes,02/2023,2022 anime,
Casino,Film,07/2018,,1,07/2018,9,N/a,N/a,Crime/Drama,10,No,,,
Charlie and the Chocolate Factory,Film,05/2010,,3,05/2018,9,N/a,N/a,Adventure/Action/Fantasy,10,No,,,
Chernobyl,Series,04/2020,,1,04/2020,10,1,5,Drama/History,10,No,,,
Citizen Kane,Film,06/2017,,1,06/2017,?,N/a,N/a,Drama/Mystery,7,No,,,
Close,Film,05/2023,,1,05/2023,10,N/a,N/a,Drama,10,Yes,05/2023,,
Coco,Film,12/2020,4K Blu-Ray,2,10/2023,10,N/a,N/a,Animation/Adventure/Family,10,Yes,10/2023,Bloody loved this film,
Deadpool 1,Film,08/2019,Blu-Ray,1,08/2019,9,N/a,N/a,Action/SuperHeroes,10,No,,,
Deadpool 2,Film,08/2019,,1,08/2019,9,N/a,N/a,Action/SuperHeroes,10,No,,,
Donnie Brasco,Film,08/2019,,1,08/2019,10,N/a,N/a,Crime/Drama,10,No,,,
Due Date,Film,04/2022,Blu-Ray,2,05/2022,8,N/a,N/a,what the fuck???,10,Yes,05/2022,,
Dunkirk,Film,04/2019,Blu-Ray,1,04/2019,10,N/a,N/a,Historical,10,No,,,
E.T. the Extra-Terrestrial,Film,06/2018,Blu-Ray,1,06/2018,9,N/a,N/a,Sci-Fi,10,No,,,
Encanto,Film,02/2021,,1,02/2021,9,N/a,N/a,Animation/Adventure/Family,10,No,,,
Ender's Game,Film,04/2018,Blu-Ray,1,04/2018,9,N/a,N/a,Action/Adventure/Sci-Fi,9,No,,,
EuroTrip,Film,11/2022,,1,11/2022,10,N/a,N/a,Comedy,10,Yes,11/2022,,
Fight Club,Film,06/2017,Blu-Ray,1,06/2017,10,N/a,N/a,Drama,10,No,,,
Fly Me Away (Envole-moi),Film,09/2022,,1,09/2022,8,N/a,N/a,Drama/Comedy,10,Yes,09/2022,,
Ford vs Ferrari,Film,03/2020,,1,03/2020,10,N/a,N/a,Cars,10,No,,,
Ghostbusters,Film,10/2025,Blu-Ray,1,10/2025,10,N/a,N/a,Comedy/Horror,10,No,,,
Ghosts,Film,02/2016,,6,02/2019,10,N/a,N/a,Horror/Fantasy/Music,10,No,,,
Gladiator,Film,04/2019,Blu-Ray,1,04/2019,10,N/a,N/a,Action/Adventure,10,No,,,
GoodFellas,Film,11/2017,4K Blu-Ray,1,11/2017,10,N/a,N/a,Crime/Drama/Biography,10,No,,,
Grave of the fireflies,Film,07/2022,Blu-Ray,2,12/2022,10,N/a,N/a,Anime,10,Yes,12/2022,War/Drama,
Green Street Hooligans,Film,11/2025,,1,11/2025,10,N/a,N/a,Crime/Drama/War,10,,,,
Greta,Film,05/2023,,1,05/2023,9,N/a,N/a,Thriller,6,Yes,05/2023,,
Halloween,Film,03/2019,,1,03/2019,8,N/a,N/a,Horror,8,No,,2007,
Halloween,Film,05/2019,"Blu-Ray, ""Blu-Ray, Steelbook""",2,10/2022,10,N/a,N/a,Horror,10,No,,1978,
Halloween,Film,04/2019,"""4K Blu-Ray, Steelbook""",2,10/2024,9,N/a,N/a,Horror,10,,10/2024,2018,
Halloween Ends,Film,10/2022,,1,10/2022,8,N/a,N/a,Horror,6,No,,,
Halloween II,Film,06/2019,,1,06/2019,7,N/a,N/a,Horror,7,No,,,
Halloween Kills(2021),Film,11/2021,,1,11/2021,7,N/a,N/a,Horror,4,No,,"No, this was lame",
Hannibal,Film,09/2020,,1,09/2020,9,N/a,N/a,Crime/Drama/Thriller,10,No,,,
Harry Potter and the Chamber of Secrets,Film,N/a,,1,N/a,9,N/a,N/a,Fantasy,8,No,,,
Harry Potter and the Goblet of Fire,Film,N/a,,1,N/a,9,N/a,N/a,Fantasy,8,No,,,
Harry Potter and the Philosopher's Stone,Film,N/a,,1,N/a,10,N/a,N/a,Fantasy,8,No,,,
Hello World,Film,06/2022,,1,06/2022,9,N/a,N/a,Anime,9,Yes,06/2022,,
Hocus Pocus,Film,10/2022,"""4K Blu-Ray, Steelbook""",4,10/2025,10,N/a,N/a,Comedy/Fantasy,10,Yes,10/2022,BEST HALLOWEEN FILM!!!,
